Technology,ISORTO,Plant Code,Nameplate Capacity (MW),LAT,LON,PLHTIAN,PLNGENAN,FC,MC
Solar Photovoltaic,PJM,63413,1.0,39.00776,-74.93556,,1538.0,0.0,0.0
Solar Photovoltaic,PJM,63404,1.5,40.5737,-74.62947,,1740.0,0.0,0.0
Solar Photovoltaic,PJM,63452,6.5,39.846549,-75.212019,,9671.0,0.0,0.0
Solar Photovoltaic,PJM,63451,13.1,40.312,-74.425,,17786.0,0.0,0.0
Solar Photovoltaic,PJM,63428,1.5,38.936172,-76.968186,,2107.0,0.0,0.0
Solar Photovoltaic,PJM,63366,1.4,40.751938,-74.131258,,2126.0,0.0,0.0
Solar Photovoltaic,PJM,63356,1.9,40.152302,-74.657754,,2862.0,0.0,0.0
Solar Photovoltaic,PJM,63355,1.4,40.550342,-74.482969,,3114.0,0.0,0.0
Solar Photovoltaic,PJM,63353,3.2,40.665678,-74.175226,,5350.0,0.0,0.0
Solar Photovoltaic,PJM,63357,3.7,39.817319,-75.196874,,5592.0,0.0,0.0
Solar Photovoltaic,PJM,63392,3.0,38.664989,-75.399444,,5772.0,0.0,0.0
Solar Photovoltaic,PJM,63390,1.9,40.896042,-82.672395,,3665.0,0.0,0.0
Solar Photovoltaic,PJM,63459,2.2,41.152222,-74.744444,,3665.0,0.0,0.0
Solar Photovoltaic,PJM,63459,0.6,41.152222,-74.744444,,3665.0,0.0,0.0
Solar Photovoltaic,PJM,63549,80.0,37.016375,-79.027061,,184153.0,0.0,0.0
Solar Photovoltaic,PJM,63566,9.0,36.423222,-77.073839,,18354.0,0.0,0.0
Solar Photovoltaic,PJM,63530,1.0,40.690025,-74.087431,,1170.0,0.0,0.0
Solar Photovoltaic,PJM,63496,2.0,39.373263,-77.34985,,3563.0,0.0,0.0
Solar Photovoltaic,PJM,63526,2.0,39.68185,-77.80145,,2828.0,0.0,0.0
Solar Photovoltaic,PJM,63525,2.0,39.67185,-77.82329,,2632.0,0.0,0.0
Solar Photovoltaic,PJM,63524,2.0,39.61849,-77.82332,,2942.0,0.0,0.0
Solar Photovoltaic,PJM,63523,2.0,39.62143,-77.82543,,2994.0,0.0,0.0
Solar Photovoltaic,PJM,63520,10.0,40.86159,-75.84656,,12264.0,0.0,0.0
Solar Photovoltaic,PJM,63512,2.0,38.413274,-75.690118,,3542.0,0.0,0.0
Solar Photovoltaic,PJM,63503,9.6,40.024,-74.312,,15915.0,0.0,0.0
Solar Photovoltaic,PJM,63200,0.5,41.079073,-74.150011,,1608.0,0.0,0.0
Solar Photovoltaic,PJM,63200,0.5,41.079073,-74.150011,,1608.0,0.0,0.0
Solar Photovoltaic,PJM,63198,1.2,40.92635,-74.675089,,1955.0,0.0,0.0
Solar Photovoltaic,PJM,63195,2.6,39.819725,-74.8947,,3112.0,0.0,0.0
Solar Photovoltaic,PJM,63185,3.1,40.438,-74.336,,5431.0,0.0,0.0
Solar Photovoltaic,PJM,63181,3.2,41.230142,-82.711785,,4027.0,0.0,0.0
Solar Photovoltaic,PJM,63150,8.0,40.67,-75.16,,12636.0,0.0,0.0
Solar Photovoltaic,PJM,63149,8.8,40.72,-75.06,,13299.0,0.0,0.0
Solar Photovoltaic,PJM,63087,19.7,37.177825,-77.337645,,27993.0,0.0,0.0
Solar Photovoltaic,PJM,63085,2.0,39.205804,-76.480453,,3100.0,0.0,0.0
Solar Photovoltaic,PJM,63084,12.0,36.624113,-76.194266,,51769.0,0.0,0.0
Solar Photovoltaic,PJM,63084,20.0,36.624113,-76.194266,,51769.0,0.0,0.0
Solar Photovoltaic,PJM,63083,15.7,37.32936,-78.76591,,30553.0,0.0,0.0
Solar Photovoltaic,PJM,63089,2.0,38.115402,-75.214861,,3674.0,0.0,0.0
Solar Photovoltaic,PJM,63298,1.5,39.4877,-74.60035,,2672.0,0.0,0.0
Solar Photovoltaic,PJM,63294,1.4,39.141852,-84.51074,,1408.0,0.0,0.0
Solar Photovoltaic,PJM,63293,3.0,36.50806,-77.61444,,4509.0,0.0,0.0
Solar Photovoltaic,PJM,63289,1.1,39.37614,-76.46813,,689.0,0.0,0.0
Solar Photovoltaic,PJM,63286,3.8,39.822945,-75.216293,,5603.0,0.0,0.0
Solar Photovoltaic,PJM,63334,3.7,40.056213,-74.880941,,5981.0,0.0,0.0
Solar Photovoltaic,PJM,63332,5.0,36.248563,-77.085241,,8402.0,0.0,0.0
Solar Photovoltaic,PJM,63323,2.0,38.73169,-76.82843,,3826.0,0.0,0.0
Solar Photovoltaic,PJM,63237,2.0,39.34167,-76.8351,,3415.0,0.0,0.0
Solar Photovoltaic,PJM,63229,1.4,40.11359,-74.70629,,2949.0,0.0,0.0
Solar Photovoltaic,PJM,63229,0.8,40.11359,-74.70629,,2949.0,0.0,0.0
